지점명,위도,경도,시도
속초,38.2043,128.5912,강원특별자치도
북춘천,37.9474,127.7549,강원특별자치도
철원,38.146,127.3135,강원특별자치도
동두천,37.9016,127.061,경기도
파주,37.7599,126.78,경기도
대관령,37.6771,128.7182,강원특별자치도
춘천,37.8813,127.7298,강원특별자치도
백령도,37.967,124.63,인천광역시
북강릉,37.802,128.855,강원특별자치도
강릉,37.7519,128.8761,강원특별자치도
동해,37.509,129.1235,강원특별자치도
서울,37.5665,126.978,서울특별시
인천,37.4563,126.7052,인천광역시
원주,37.3422,127.9202,강원특별자치도
울릉도,37.4866,130.9051,경상북도
수원,37.2636,127.0286,경기도
영월,37.1838,128.46,강원특별자치도
충주,36.9714,127.9526,충청북도
서산,36.781,126.451,충청남도
울진,36.993,129.4098,경상북도
청주,36.6424,127.489,충청북도
대전,36.3504,127.3845,대전광역시
추풍령,36.219,128.0,충청북도
안동,36.5683,128.7294,경상북도
상주,36.415,128.16,경상북도
포항,36.019,129.343,경상북도
군산,35.9677,126.7365,전북특별자치도
대구,35.8714,128.6014,대구광역시
전주,35.8242,127.148,전북특별자치도
울산,35.5384,129.3114,울산광역시
창원,35.228,128.681,경상남도
광주,35.1595,126.8526,광주광역시
부산,35.1796,129.0756,부산광역시
통영,34.8544,128.4337,경상남도
목포,34.8118,126.3922,전라남도
여수,34.7604,127.6622,전라남도
흑산도,34.6853,125.4505,전라남도
완도,34.3121,126.7555,전라남도
고창,35.435,126.7073,전북특별자치도
순천,34.95,127.487,전라남도
홍성,36.601,126.662,충청남도
서청주,36.6424,127.489,충청북도
제주,33.4996,126.5312,제주특별자치도
고산,33.2939,126.1628,제주특별자치도
성산,33.3855,126.8807,제주특별자치도
서귀포,33.2541,126.56,제주특별자치도
진주,35.18,128.108,경상남도
강화,37.7079,126.4462,인천광역시
양평,37.4916,127.4871,경기도
이천,37.2796,127.442,경기도
인제,38.0685,128.1703,강원특별자치도
홍천,37.6919,127.8802,강원특별자치도
태백,37.1642,128.9856,강원특별자치도
정선군,37.38,128.66,강원특별자치도
제천,37.1326,128.2005,충청북도
보은,36.489,127.729,충청북도
천안,36.815,127.155,충청남도
보령,36.3333,126.6125,충청남도
부여,36.273,126.909,충청남도
금산,36.104,127.488,충청남도
세종,36.4801,127.2892,세종특별자치시
부안,35.729,126.733,전북특별자치도
임실,35.613,127.289,전북특별자치도
정읍,35.5677,126.85,전북특별자치도
남원,35.416,127.39,전북특별자치도
장수,35.6483,127.5211,전북특별자치도
고창군,35.435,126.7073,전북특별자치도
영광군,35.277,126.509,전라남도
김해시,35.228,128.889,경상남도
순창군,35.371,127.138,전북특별자치도
북창원,35.2496,128.5978,경상남도
양산시,35.3342,129.037,경상남도
보성군,34.768,127.081,전라남도
강진군,34.642,126.768,전라남도
장흥,34.681,126.907,전라남도
해남,34.571,126.598,전라남도
고흥,34.6072,127.2892,전라남도
의령군,35.321,128.261,경상남도
함양군,35.52,127.725,경상남도
광양시,34.9406,127.6955,전라남도
진도군,34.4854,126.2646,전라남도
봉화,36.943,128.916,경상북도
영주,36.8056,128.6244,경상북도
문경,36.5945,128.1992,경상북도
청송군,36.435,129.057,경상북도
영덕,36.415,129.365,경상북도
의성,36.3522,128.6972,경상북도
구미,36.107,128.3886,경상북도
영천,35.9733,128.938,경상북도
경주시,35.8562,129.2247,경상북도
거창,35.6863,127.9096,경상남도
합천,35.5669,128.1656,경상남도
밀양,35.5039,128.746,경상남도
산청,35.4154,127.8732,경상남도
거제,34.8809,128.6218,경상남도
남해,34.8371,127.8924,경상남도
북부산,35.1796,129.0756,부산광역시
