통합지역,위도,경도
강릉,37.76452,128.8993979
강진군,34.641917,126.7669591
경주시,35.8556705,129.2248811
고산,35.8429485,128.693313
고창,36.0892696,126.8866027
고창군,35.4355,126.7021
고흥,34.760769,126.3982478
광양시,34.9406452,127.6959512
광주,35.1594647,126.8515034
구미,36.1283119,128.3310455
김해시,35.2310947,128.8908228
대관령,37.6871232,128.7604146
대구,35.8713,128.6018
대전,36.3497007,127.3849016
동두천,37.9278263,127.0547822
동해,37.4975753,129.1226016
목포,34.7921339,126.3876448
백령도,37.9498034,124.6724295
보령,36.3522198,126.6170376
보성군,34.7711356,127.0798978
부산,35.1799528,129.0752365
상주,36.41032,128.1637683
서귀포,33.2568662,126.5624311
서산,35.9344056,129.279525
서울,37.5666791,126.9782914
서청주,36.6341442,127.4202073
세종,36.4799999,127.289
속초,38.2039506,128.5630404
수원,37.2658097,126.9999102
순창군,35.3741,127.1374
안동,36.5745833,128.6748747
양산시,35.3349979,129.0370582
양평,37.4928474,127.4918972
여수,34.7530343,127.748804
영광군,35.2769282,126.5124504
영월,37.1821719,128.4809263
완도,34.3448887,126.6910588
울릉도,37.5011143,130.8586064
울산,35.5391697,129.3119136
울진,36.9817408,129.395474
원주,37.3164083,127.9228206
의령군,35.322003,128.2617827
이천,37.2642411,127.4422242
인천,37.456,126.7052
장수,37.4833331,127.0346947
전주,35.8500537,127.1623649
정읍,35.5757734,126.8419169
제주,33.4887737,126.4987083
제천,37.1270743,128.2059637
진주,35.1501201,128.1183494
창원,35.2581253,128.6070336
철원,38.2109138,127.2116357
청송군,36.4358,129.0571
청주,36.6471132,127.3923613
추풍령,36.2128103,127.9963927
춘천,37.8845604,127.716664
충주,36.9752571,127.9080675
태백,37.1760942,128.9842311
통영,34.7748326,127.7241698
파주,37.8150577,126.7924283
포항,36.0712333,129.3426784
함양군,35.5204145,127.7252966
해남,34.6369981,126.6372997
홍성,36.5993365,126.6812157
흑산도,34.6608507,125.4060994
강화,37.7476413,126.4734179
거제,35.1890712,129.0738811
거창,35.7059427,128.0578476
군산,35.9993608,126.7602959
금산,37.5178778,126.5214972
남원,35.4112509,127.3613332
남해,34.8387666,127.892405
문경,36.7202622,128.110201
밀양,35.4748507,128.7714177
보은,35.5093709,129.1434682
봉화,36.8914813,128.7268956
부안,35.7264751,126.7377401
부여,36.2860995,126.9225138
산청,34.8875479,127.5750107
성산,35.8883361,128.4569056
순천,34.9458107,127.5040597
영덕,36.4102544,129.3783288
영주,36.8109445,128.625578
영천,35.9590454,128.9388909
의성,36.35336,128.693128
인제,35.250061,128.9020135
임실,35.6329664,127.2898846
장흥,37.7186862,126.9416098
정선군,37.380456,128.6609485
진도군,34.4867515,126.2629264
천안,36.8102804,127.14684
합천,35.1770278,128.8152507
홍천,37.6983221,127.891168
